iter	Passed	Remaining
0	8	8645
1	9	4819
2	10	3435
3	11	2764
4	11	2360
5	12	2074
6	13	1878
7	14	1744
8	14	1642
9	15	1549
10	16	1473
11	17	1414
12	17	1357
13	19	1354
14	21	1393
15	22	1360
16	22	1327
17	23	1294
18	24	1265
19	25	1239
20	26	1216
21	26	1196
22	27	1176
23	28	1156
24	29	1141
25	30	1125
26	30	1109
27	31	1095
28	32	1084
29	33	1071
30	34	1087
31	36	1091
32	37	1092
33	38	1080
34	38	1068
35	39	1056
36	40	1046
37	40	1036
38	41	1025
39	42	1016
40	43	1007
41	43	998
42	44	991
43	45	984
44	46	977
45	46	970
46	47	963
47	48	958
48	49	963
49	51	976
50	52	971
51	53	967
52	53	960
53	54	956
54	55	951
55	56	945
56	56	939
57	57	933
58	58	928
59	58	924
60	59	920
61	60	916
62	61	911
63	62	906
64	62	903
65	64	916
66	66	930
67	67	927
68	68	922
69	69	918
70	69	913
71	70	909
72	71	905
73	72	901
74	72	898
75	73	895
76	74	892
77	75	888
78	75	885
79	76	882
80	77	878
81	78	873
82	78	870
83	80	881
84	81	881
85	82	878
86	83	874
87	84	871
88	84	868
89	85	865
90	86	862
91	87	859
92	87	856
93	88	853
94	89	850
95	89	846
96	90	843
97	91	839
98	91	836
99	92	834
100	94	836
101	95	842
102	96	841
103	97	839
104	98	836
105	98	833
106	99	830
107	100	827
108	100	824
109	101	821
110	102	818
111	102	816
112	103	815
113	104	812
114	105	810
115	105	807
116	106	804
117	107	802
118	107	799
119	109	804
120	111	813
121	112	810
122	113	809
123	114	807
124	115	806
125	115	804
126	116	801
127	117	799
128	118	798
129	118	795
130	119	794
131	120	792
132	121	790
133	122	788
134	122	786
135	123	787
136	125	791
137	127	793
138	127	791
139	128	790
140	129	788
141	130	785
142	130	784
143	131	783
144	132	781
145	133	780
146	134	778
147	134	776
148	135	774
149	136	773
150	137	770
151	138	770
152	140	780
153	142	781
154	142	779
155	143	777
156	144	775
157	145	774
158	146	772
159	146	770
160	147	767
161	148	765
162	148	763
163	149	761
164	150	760
165	150	758
166	151	756
167	152	755
168	153	753
169	154	754
170	156	756
171	157	756
172	157	754
173	158	752
174	159	751
175	160	749
176	160	747
177	161	745
178	162	744
179	163	742
180	163	741
181	164	739
182	165	738
183	166	736
184	166	734
185	167	733
186	168	732
187	169	732
188	171	734
189	172	734
190	173	733
191	173	732
192	174	731
193	175	729
194	176	727
195	177	726
196	177	724
197	178	722
198	179	721
199	180	720
200	180	718
201	181	716
202	182	715
203	183	714
204	183	712
205	184	712
206	186	712
207	186	712
208	187	710
209	188	708
210	189	707
211	189	705
212	190	704
213	191	702
214	191	700
215	192	699
216	193	697
217	194	696
218	194	695
219	195	694
220	196	692
221	197	691
222	197	689
223	198	688
224	199	688
225	201	688
226	202	688
227	202	686
228	203	685
229	204	683
230	204	682
231	205	680
232	206	679
233	207	678
234	208	677
235	208	675
236	209	674
237	210	673
238	211	671
239	211	670
240	212	669
241	213	667
242	214	667
243	215	667
244	216	667
245	217	666
246	218	665
247	218	663
248	219	662
249	220	661
250	221	659
251	221	658
252	222	657
253	223	655
254	223	654
255	224	653
256	225	651
257	226	650
258	227	649
259	227	648
260	228	647
261	229	647
262	230	647
263	231	646
264	232	645
265	233	644
266	234	643
267	234	641
268	235	641
269	236	640
270	237	638
271	238	637
272	239	636
273	239	635
274	240	634
275	241	632
276	241	631
277	242	630
278	243	628
279	244	627
280	245	627
281	246	627
282	247	626
283	248	625
284	248	624
285	249	623
286	250	622
287	251	621
288	251	619
289	252	618
290	253	617
291	254	616
292	255	615
293	255	614
294	256	613
295	257	612
296	258	611
297	259	610
298	260	610
299	261	610
300	262	609
301	263	608
302	264	607
303	264	606
304	265	604
305	266	603
306	267	602
307	267	601
308	268	600
309	269	599
310	270	598
311	270	597
312	271	596
313	272	595
314	273	594
315	274	593
316	275	593
317	276	593
318	277	592
319	278	591
320	279	590
321	279	589
322	280	588
323	281	587
324	282	586
325	283	585
326	283	584
327	284	583
328	285	582
329	286	581
330	287	580
331	288	579
332	289	578
333	290	578
334	291	579
335	292	578
336	293	577
337	294	576
338	294	574
339	295	573
340	296	572
341	297	571
342	297	570
343	298	569
344	299	568
345	300	567
346	301	566
347	301	565
348	302	564
349	303	563
350	304	562
351	306	564
352	307	563
353	308	562
354	308	560
355	309	559
356	310	558
357	310	557
358	311	556
359	312	555
360	313	554
361	314	553
362	314	552
363	315	551
364	316	550
365	317	549
366	318	548
367	318	547
368	320	547
369	321	547
370	322	546
371	323	545
372	324	544
373	324	543
374	325	542
375	326	541
376	326	540
377	327	538
378	328	537
379	329	536
380	329	535
381	330	534
382	331	533
383	332	532
384	332	531
385	333	530
386	334	530
387	335	529
388	337	529
389	337	528
390	338	527
391	339	526
392	339	525
393	340	524
394	341	522
395	342	521
396	342	520
397	343	519
398	344	518
399	345	517
400	345	516
401	346	515
402	347	514
403	347	513
404	348	512
405	349	511
406	350	511
407	351	510
